Requirement ID,Requirement Text,Unit Test ID,Integration Test ID,EMVCo Test Case Ref,Evidence Artifact
KRN-REF-001,"Implementation SHALL comply with all normative references. In case of conflict, referenced standards prevail.",UT-REF-001,IT-REF-001,EMV-B1-001,conformance::tests::conformance_statement_json_is_deterministic_and_scoped; traceability_foundation::krn_ref_001_conformance_statement_declares_normative_hierarchy; traceability_foundation::rtm_promotes_reference_config_log_evidence
KRN-SEC-001,No issuer master key SHALL be stored or accessible inside the kernel.,UT-SEC-001,IT-SEC-001,N/A,traceability_foundation::krn_sec_001_002_sources_exclude_issuer_key_custody_and_cryptogram_generation; traceability_foundation::rtm_promotes_security_trust_boundary_evidence
KRN-SEC-002,"Kernel SHALL NOT generate ARQC, TC, or AAC; these cryptograms are returned by the card.",UT-SEC-002,IT-SEC-002,EMV-L2-ARQC-001,gac::tests::builds_online_authorization_package_without_generating_cryptograms; traceability_foundation::gac_parsing_uses_card_returned_cryptogram_for_online_handoff; traceability_foundation::krn_sec_001_002_sources_exclude_issuer_key_custody_and_cryptogram_generation; traceability_foundation::rtm_promotes_security_trust_boundary_evidence
KRN-SEC-003,CAPKs are public keys requiring integrity and authenticity but not confidentiality.,UT-SEC-003,IT-SEC-003,N/A,config::tests::rejects_certification_capk_checksum_mismatch_or_metadata_drift; traceability_foundation::krn_sec_003_oda_001_cert_profile_loader_rejects_capk_checksum_drift; traceability_foundation::krn_sec_003_oda_002_capks_retain_signed_public_provenance; traceability_foundation::rtm_promotes_security_trust_boundary_evidence
KRN-SEC-004,PIN processing SHALL follow certified integration model (Model A); kernel SHALL NOT access clear PIN.,UT-SEC-004,IT-SEC-004,PCI-PTS-PIN-001,cvm::tests::offline_pin_requires_ped_owned_opaque_handle; cvm::tests::offline_pin_debug_redacts_ped_handle_values; traceability_foundation::krn_pin_001_002_003_pinapi_001_002_cvmres_001_use_ped_owned_handles; traceability_foundation::rtm_promotes_security_trust_boundary_evidence
KRN-SEL-001,Kernel SHALL select PSE using exact contact APDU and PPSE using exact contactless APDU.,UT-SEL-001,IT-SEL-001,EMV-L2-SEL-001,apdu::tests::builds_exact_contact_pse_and_contactless_ppse_selects; selection::tests::extracts_candidate_aids_from_directory_fci; selection::tests::rejects_duplicate_adf_names_in_directory_entries; selection::tests::rejects_duplicate_adf_names_across_directory_entries; selection::tests::rejects_candidate_aid_lists_above_limit; selection::tests::partial_selection_preserves_card_adf_name_for_final_select; selection::tests::partial_selection_retains_all_matching_card_adf_names; selection::tests::rejects_duplicate_card_candidates_before_profile_matching; ffi::tests::runtime_partial_selection_uses_card_adf_name_for_select; traceability_foundation::krn_sel_001_exact_pse_ppse_apdus_are_stable; traceability_foundation::krn_sel_001_002_003_parses_candidates_and_matches_signed_profiles; ffi::tests::ffi_builds_select_into_caller_buffer
KRN-GPO-001,Kernel SHALL parse valid GPO response formats 77 and 80.,UT-GPO-001,IT-GPO-001,EMV-L2-GPO-001,gpo::tests::extracts_pdol_from_selected_application_fci; gpo::tests::rejects_duplicate_pdol_objects_in_selected_fci; gpo::tests::parses_gpo_template_77_with_aip_and_afl; gpo::tests::parses_gpo_template_80_with_aip_and_afl; gpo::tests::rejects_nested_or_duplicate_gpo_response_data; gpo::tests::rejects_constructed_gpo_response_children_even_with_mandatory_data; traceability_foundation::krn_gpo_001_002_extracts_pdol_and_parses_aip_afl_templates; traceability_foundation::rtm_promotes_gpo_and_read_record_evidence
KRN-GPO-002,Kernel SHALL extract AIP and AFL or fail with explicit missing mandatory tag.,UT-GPO-002,IT-GPO-002,EMV-L2-GPO-002,gpo::tests::extracts_pdol_from_selected_application_fci; gpo::tests::rejects_duplicate_pdol_objects_in_selected_fci; gpo::tests::rejects_gpo_without_mandatory_aip_afl; gpo::tests::rejects_nested_or_duplicate_gpo_response_data; gpo::tests::rejects_constructed_gpo_response_children_even_with_mandatory_data; traceability_foundation::krn_gpo_001_002_extracts_pdol_and_parses_aip_afl_templates; traceability_foundation::rtm_promotes_gpo_and_read_record_evidence
KRN-RR-001,Kernel SHALL validate SFI and record range before READ RECORD.,UT-RR-001,IT-RR-001,EMV-L2-RR-001,apdu::tests::validates_read_record_sfi; afl::tests::rejects_malformed_afl_entries; afl::tests::rejects_afl_sfi_bytes_with_nonzero_low_bits; afl::tests::accepts_maximum_afl_entry_count_without_overflow; afl::tests::rejects_afl_lists_above_entry_limit; afl::tests::rejects_record_plans_above_locator_limit; afl::tests::rejects_duplicate_afl_record_locators; traceability_foundation::krn_rr_001_002_003_reads_records_in_afl_order_and_stores_card_data; traceability_foundation::rtm_promotes_gpo_and_read_record_evidence
KRN-RR-002,Kernel SHALL encode READ RECORD P2 as (SFI << 3) | 0x04.,UT-RR-002,IT-RR-002,EMV-L2-RR-002,apdu::tests::validates_read_record_sfi; afl::tests::builds_read_record_commands_from_afl_order; afl::tests::rejects_duplicate_afl_record_locators; traceability_foundation::krn_rr_001_002_003_reads_records_in_afl_order_and_stores_card_data; traceability_foundation::rtm_promotes_gpo_and_read_record_evidence
